Date,DIA,TLT,CASH,DIA_CHOICE,TLT_CHOICE,CASH_CHOICE,DateCopy,B_FREQ,DIA_LEN,DIA_LEX,DIA_NUL,DIA_R,TLT_LEN,TLT_LEX,TLT_NUL,TLT_R,CASH_LEN,CASH_LEX,CASH_NUL,CASH_R,ALL_R,DETREND_ALL_R,I,DETREND_I
2017-10-03,0.004439594302057426,0.0009657464233125967,0.0,1.0,0.0,0.0,2017-10-03,both,True,False,1.0,0.004439594302057426,False,True,0.0,0.0,False,True,0.0,0.0,0.004439594302057426,0.008696910311172257,1.2988129844088454,0.8106266911577843
2017-10-04,0.0007513363483819813,8.010647152212336e-05,0.0,1.0,0.0,0.0,2017-10-04,both,True,False,1.0,0.0007513363483819813,False,True,0.0,0.0,False,True,0.0,0.0,0.0007513363483819813,0.0006248700654347683,1.2997888298137823,0.8111332275113312
2017-10-05,0.005432728254399777,-0.003777801530533198,0.0,1.0,0.0,0.0,2017-10-05,both,True,False,1.0,0.005432728254399777,False,True,0.0,-0.0,False,True,0.0,0.0,0.005432728254399777,0.010831708488332703,1.3068502293142648,0.8199191861769344
2017-10-06,-0.000395127187486799,-0.002823797396086958,0.0,1.0,0.0,0.0,2017-10-06,both,True,False,1.0,-0.000395127187486799,False,True,0.0,-0.0,False,True,0.0,0.0,-0.000395127187486799,-0.0018582707832308643,1.3063338572586893,0.8183955543086514
2017-10-09,-8.832391366042636e-05,0.0031555724305172284,0.0,1.0,0.0,0.0,2017-10-09,both,True,False,1.0,-8.832391366042636e-05,False,True,0.0,0.0,False,True,0.0,0.0,-8.832391366042636e-05,-0.0011951203381770359,1.306218476739869,0.8174174731370235
2017-10-10,0.003208672734344775,0.001613011984909818,0.0,1.0,0.0,0.0,2017-10-10,both,True,False,1.0,0.003208672734344775,False,True,0.0,0.0,False,True,0.0,0.0,0.003208672734344775,0.005971339890384231,1.3104097043512817,0.8222985507014637
2017-10-11,0.0015330793148424782,0.0019327203352033084,0.0,1.0,0.0,0.0,2017-10-11,both,True,False,1.0,0.0015330793148424782,False,True,0.0,0.0,False,True,0.0,0.0,0.0015330793148424782,0.0023253061839894063,1.3124186663629915,0.8242106466064953
2017-10-12,-0.001224699593819767,0.0042598931002397755,0.0,1.0,0.0,0.0,2017-10-12,both,True,False,1.0,-0.001224699593819767,False,True,0.0,0.0,False,True,0.0,0.0,-0.001224699593819767,-0.0036493939012197663,1.3108113477553753,0.8212027772994492
2017-10-13,0.0017517060254084171,0.007202759183938534,0.0,1.0,0.0,0.0,2017-10-13,both,True,False,1.0,0.0017517060254084171,False,True,0.0,0.0,False,True,0.0,0.0,0.0017517060254084171,0.0028042096303120267,1.3131075038914122,0.8235056020359913
2017-10-16,0.0031478692931083962,-0.0007151768411676196,0.0,1.0,0.0,0.0,2017-10-16,both,True,False,1.0,0.0031478692931083962,False,True,0.0,-0.0,False,True,0.0,0.0,0.0031478692931083962,0.005831807774905329,1.3172409946814623,0.8283081284086229
