,lookback,frequency,ShortTermWeight,LongTermWeight,RSI_weight,v_ratio_weight,Z_weight,TotalAnnReturn,CAGR,sharpe,volatility,p_val
351,25,2W-FRI-100%,1,1,1,0,0,0.253807008,0.1324,0.632784961,0.257965296,0.29056
364,25,2W-FRI-100%,2,2,2,0,0,0.253807008,0.1324,0.632784961,0.257965296,0.29214
377,25,2W-FRI-100%,3,3,3,0,0,0.253807008,0.1324,0.632784961,0.257965296,0.29606
363,25,2W-FRI-100%,2,2,1,0,0,0.24866665,0.1308,0.625593666,0.258895489,0.29406
375,25,2W-FRI-100%,3,3,1,0,0,0.24866665,0.1308,0.625593666,0.258895489,0.29318
376,25,2W-FRI-100%,3,3,2,0,0,0.24866665,0.1308,0.625593666,0.258895489,0.29588
227,20,1W-FRI-100%,2,1,3,0,0,0.244345637,0.1294,0.6173625,0.260965115,0.30834
413,25,4W-FRI-100%,1,3,3,0,0,0.242377467,0.1287,0.61597895,0.260765892,0.30022
362,25,2W-FRI-100%,2,1,3,0,0,0.235333614,0.1264,0.60782688,0.260600291,0.31164
409,25,4W-FRI-100%,1,2,2,0,0,0.234836776,0.1262,0.607035046,0.260884916,0.24676
360,25,2W-FRI-100%,2,1,1,0,0,0.232870668,0.1256,0.603195549,0.261872987,0.35026
410,25,4W-FRI-100%,1,2,3,0,0,0.2237088,0.1225,0.593658615,0.260851952,0.31864
246,20,2W-FRI-100%,1,2,1,0,0,0.218018657,0.1205,0.589784274,0.258070835,0.37544
407,25,4W-FRI-100%,1,1,3,0,0,0.215725914,0.1197,0.5851491,0.259693065,0.23656
415,25,4W-FRI-100%,2,1,2,0,0,0.211797072,0.1183,0.578599325,0.260958649,0.26354
412,25,4W-FRI-100%,1,3,2,0,0,0.206488722,0.1164,0.571710684,0.261017192,0.30638
371,25,2W-FRI-100%,3,1,3,0,0,0.20613336,0.1163,0.568589553,0.263166584,0.39272
258,20,2W-FRI-100%,2,3,1,0,0,0.196316123,0.1127,0.566578572,0.253780405,0.333
411,25,4W-FRI-100%,1,3,1,0,0,0.19598591,0.1126,0.560741827,0.258542902,0.30524
383,25,3W-FRI-100%,1,2,3,0,0,0.196567665,0.1128,0.559931508,0.259925873,0.14186
218,20,1W-FRI-100%,1,1,3,0,0,0.19553123,0.1124,0.557130295,0.260541566,0.1925
300,20,4W-FRI-100%,1,2,1,0,0,0.202164008,0.1148,0.555114415,0.271011781,0.35106
243,20,2W-FRI-100%,1,1,1,0,0,0.19062851,0.1105,0.551410912,0.26003545,0.3136
256,20,2W-FRI-100%,2,2,2,0,0,0.19062851,0.1105,0.551410912,0.26003545,0.3093
269,20,2W-FRI-100%,3,3,3,0,0,0.19062851,0.1105,0.551410912,0.26003545,0.30534
304,20,4W-FRI-100%,1,3,2,0,0,0.196968627,0.1129,0.551178182,0.268579285,0.42578
382,25,3W-FRI-100%,1,2,2,0,0,0.186308008,0.1089,0.54614164,0.25971603,0.1793
385,25,3W-FRI-100%,1,3,2,0,0,0.183827977,0.1079,0.545259389,0.257394313,0.22808
416,25,4W-FRI-100%,2,1,3,0,0,0.186966916,0.1091,0.544368424,0.262205068,0.289
369,25,2W-FRI-100%,3,1,1,0,0,0.187550238,0.1094,0.544009247,0.263132361,0.39568
260,20,2W-FRI-100%,2,3,3,0,0,0.180951987,0.1068,0.540154565,0.258016456,0.29658
408,25,4W-FRI-100%,1,2,1,0,0,0.179663918,0.1063,0.535342957,0.261169035,0.22522
234,20,1W-FRI-100%,3,1,1,0,0,0.176352085,0.105,0.534465158,0.256937003,0.2421
235,20,1W-FRI-100%,3,1,2,0,0,0.176646758,0.1051,0.534180501,0.257596961,0.2314
257,20,2W-FRI-100%,2,2,3,0,0,0.176761779,0.1052,0.53080224,0.261200308,0.30646
414,25,4W-FRI-100%,2,1,1,0,0,0.173976144,0.1041,0.526445746,0.261816621,0.28612
259,20,2W-FRI-100%,2,3,2,0,0,0.169274684,0.1022,0.525552696,0.255726564,0.33834
45,10,2W-FRI-100%,3,1,1,0,0,0.185918345,0.1087,0.521920575,0.283454148,0.27216
46,10,2W-FRI-100%,3,1,2,0,0,0.185563843,0.1086,0.521467302,0.283454893,0.27526
255,20,2W-FRI-100%,2,2,1,0,0,0.16770347,0.1015,0.520329868,0.258502753,0.35618
267,20,2W-FRI-100%,3,3,1,0,0,0.16770347,0.1015,0.520329868,0.258502753,0.36188
268,20,2W-FRI-100%,3,3,2,0,0,0.16770347,0.1015,0.520329868,0.258502753,0.35846
236,20,1W-FRI-100%,3,1,3,0,0,0.168030063,0.1017,0.518877562,0.260283012,0.27
386,25,3W-FRI-100%,1,3,3,0,0,0.164358331,0.1002,0.517196426,0.256925595,0.22836
247,20,2W-FRI-100%,1,2,2,0,0,0.163601807,0.0999,0.515123035,0.25755008,0.38902
370,25,2W-FRI-100%,3,1,2,0,0,0.166720294,0.1011,0.514371877,0.263232408,0.48908
110,15,1W-FRI-100%,1,1,3,0,0,0.179068588,0.1061,0.512971069,0.283456817,0.35034
297,20,4W-FRI-100%,1,1,1,0,0,0.170573412,0.1027,0.511458827,0.272434305,0.33992
310,20,4W-FRI-100%,2,2,2,0,0,0.170573412,0.1027,0.511458827,0.272434305,0.33704
323,20,4W-FRI-100%,3,3,3,0,0,0.170573412,0.1027,0.511458827,0.272434305,0.33906
248,20,2W-FRI-100%,1,2,3,0,0,0.162856582,0.0996,0.511318391,0.260258709,0.3825
108,15,1W-FRI-100%,1,1,1,0,0,0.174550339,0.1043,0.510901255,0.278722161,0.34544
121,15,1W-FRI-100%,2,2,2,0,0,0.174550339,0.1043,0.510901255,0.278722161,0.34084
134,15,1W-FRI-100%,3,3,3,0,0,0.174550339,0.1043,0.510901255,0.278722161,0.3496
422,25,4W-FRI-100%,2,3,3,0,0,0.16210719,0.0992,0.510478574,0.260372623,0.30524
47,10,2W-FRI-100%,3,1,3,0,0,0.175451464,0.1047,0.508464221,0.28326868,0.28604
303,20,4W-FRI-100%,1,3,1,0,0,0.16618283,0.1009,0.508341935,0.269393015,0.5014
122,15,1W-FRI-100%,2,2,3,0,0,0.1692837,0.1022,0.503543018,0.278940481,0.35082
417,25,4W-FRI-100%,2,2,1,0,0,0.157354885,0.0973,0.499846565,0.263986416,0.29794
429,25,4W-FRI-100%,3,3,1,0,0,0.157354885,0.0973,0.499846565,0.263986416,0.29974
430,25,4W-FRI-100%,3,3,2,0,0,0.157354885,0.0973,0.499846565,0.263986416,0.30166
109,15,1W-FRI-100%,1,1,2,0,0,0.166189627,0.1009,0.49945693,0.278694319,0.37496
244,20,2W-FRI-100%,1,1,2,0,0,0.154838249,0.0962,0.49908969,0.26020576,0.3071
132,15,1W-FRI-100%,3,3,1,0,0,0.165477145,0.1006,0.49859738,0.278524628,0.33986
120,15,1W-FRI-100%,2,2,1,0,0,0.165418566,0.1006,0.498515322,0.27852486,0.34086
133,15,1W-FRI-100%,3,3,2,0,0,0.165418566,0.1006,0.498515322,0.27852486,0.34058
428,25,4W-FRI-100%,3,2,3,0,0,0.154356765,0.096,0.496081761,0.263035117,0.266
406,25,4W-FRI-100%,1,1,2,0,0,0.152341819,0.0951,0.494121011,0.261743491,0.39416
126,15,1W-FRI-100%,3,1,1,0,0,0.165384741,0.1006,0.492484626,0.286402795,0.32564
421,25,4W-FRI-100%,2,3,2,0,0,0.147407418,0.093,0.488020709,0.259865659,0.32508
112,15,1W-FRI-100%,1,2,2,0,0,0.152660744,0.0953,0.48691404,0.270893648,0.2152
312,20,4W-FRI-100%,2,3,1,0,0,0.149240658,0.0938,0.486187631,0.265350634,0.3794
419,25,4W-FRI-100%,2,2,3,0,0,0.146442256,0.0926,0.484709309,0.261834702,0.40968
128,15,1W-FRI-100%,3,1,3,0,0,0.158662728,0.0978,0.483399893,0.286169491,0.33262
301,20,4W-FRI-100%,1,2,2,0,0,0.149515394,0.0939,0.483086507,0.269782792,0.41808
127,15,1W-FRI-100%,3,1,2,0,0,0.158437134,0.0977,0.483016128,0.286271204,0.32652
420,25,4W-FRI-100%,2,3,1,0,0,0.141989539,0.0906,0.479218141,0.259871651,0.32204
305,20,4W-FRI-100%,1,3,3,0,0,0.143830184,0.0914,0.476488516,0.267096286,0.42566
311,20,4W-FRI-100%,2,2,3,0,0,0.146019453,0.0924,0.473887632,0.274529495,0.3751
